Date,Open,High,Low,Close,SMA50,SMA200,SPY_Open
11/19/2007,1156.140015,1162.670044,1140.630005,1144.219971,1235.096389,1163.237537,145.279999
11/20/2007,1149.920044,1162.180054,1114.869995,1135.339966,1233.843589,1163.462713,144.020004
11/21/2007,1124.810059,1141.439941,1109.72998,1122.300049,1232.461589,1163.550301,143.080002
11/23/2007,1127.880005,1138.76001,1121.829956,1135.430054,1231.293591,1163.704321,143.070007
11/26/2007,1136.170044,1144.640015,1110.280029,1110.699951,1229.63999,1163.82603,144.429993
11/27/2007,1117.900024,1137.359985,1116.069946,1134.650024,1228.61239,1164.096834,141.740005
11/28/2007,1145.199951,1172.180054,1144.400024,1167.839966,1227.57519,1164.523417,144.190002
11/29/2007,1162.76001,1173.810059,1160.52002,1170.98999,1226.52479,1164.861256,146.619995
11/30/2007,1179.199951,1179.199951,1146.5,1154.609985,1225.27019,1165.08015,149.039993
12/3/2007,1151.130005,1159.709961,1146.699951,1146.699951,1223.72959,1165.271959,148.190002
12/4/2007,1139.459961,1146.569946,1135.660034,1138.119995,1222.151389,1165.388491,146.660004
12/5/2007,1152.98999,1169.109985,1152.670044,1163.410034,1220.826789,1165.638541,147.929993
12/6/2007,1164.130005,1180.150024,1163.189941,1179.430054,1219.768791,1165.928742,148.630005
12/7/2007,1179.890015,1183.890015,1173.050049,1180.609985,1218.632192,1166.231858,151.419998
12/10/2007,1182.819946,1192.069946,1180.880005,1188.390015,1217.622993,1166.342648,151.279999
12/11/2007,1188.52002,1192.76001,1158.699951,1160.180054,1215.739795,1166.793599,152.139999
12/12/2007,1180.290039,1185.369995,1151.469971,1167.719971,1213.976995,1167.254498,151.059998
12/13/2007,1162.630005,1170.930054,1154.150024,1164.23999,1212.326794,1167.731398,148.320007
12/14/2007,1154.280029,1165.5,1150.199951,1152.079956,1210.431194,1168.237548,147.929993
12/17/2007,1145.189941,1146.790039,1125.890015,1125.890015,1207.578794,1168.669848,146.610001
12/18/2007,1136.880005,1139.060059,1118.199951,1132.790039,1204.678196,1169.040098,146.100006
12/19/2007,1131.719971,1141.439941,1128.23999,1135.319946,1201.879595,1169.459748,145.940002
12/20/2007,1147.359985,1158.390015,1142.109985,1158.02002,1199.449795,1169.939748,146.839996
12/21/2007,1175.48999,1178.199951,1170,1177.560059,1197.884597,1170.508998,147.369995
12/24/2007,1178.369995,1185.599976,1178.369995,1183.209961,1195.804197,1171.063798,148.820007
12/26/2007,1179.540039,1188.339966,1177.619995,1187.369995,1194.025198,1171.756698,148.649994
12/27/2007,1182.849976,1185.069946,1166.359985,1168.119995,1192.166396,1172.296848,149.020004
12/28/2007,1175.180054,1176.640015,1160.290039,1168.579956,1189.944595,1172.839048,148.539993
12/31/2007,1163,1165.339966,1155.300049,1155.910034,1187.190796,1173.328948,147.100006
1/2/2008,1156.630005,1160.390015,1126.869995,1133.339966,1184.773596,1173.678198,146.529999
1/3/2008,1134.589966,1140.069946,1125.25,1131.359985,1181.989795,1173.973447,144.910004
1/4/2008,1116.609985,1116.609985,1078.329956,1081.439941,1177.781394,1173.883797,143.339996
1/7/2008,1082.02002,1084.050049,1056.880005,1069.719971,1173.906794,1173.773397,141.809998
1/8/2008,1072.48999,1081.26001,1040.800049,1040.800049,1169.871594,1173.522597,142.080002
1/9/2008,1043.599976,1055.469971,1023.619995,1052.369995,1165.801794,1173.302097,139.089996
1/10/2008,1044.339966,1065.099976,1038.900024,1056.660034,1161.630195,1173.149348,139.679993
1/11/2008,1043.430054,1043.430054,1018.789978,1024.869995,1156.803396,1172.914998,140.779999
